순위,요인,컬럼수,중요도,표준편차,기준성능
1,직전 회차 성과,8,0.06979047151228925,0.007101796434985918,0.8968200862106002
2,연재 위치,1,0.025645723682419845,0.0044972831310075645,0.8968200862106002
3,작품 인기도(선작),1,0.013087741721806614,0.004491696848263778,0.8968200862106002
4,독자 반응 구성,12,0.009357350944954802,0.0035867356985494372,0.8968200862106002
5,페이월 구조,5,0.007397043931680274,0.0022077544446617208,0.8968200862106002
6,연재 리듬(공백),2,0.006229021616738992,0.002960308422264759,0.8968200862106002
7,댓글 감정(KOTE),19,0.00412119951445407,0.002537493378239912,0.8968200862106002
8,장르,1,0.0004925590342158515,0.0006985552080267284,0.8968200862106002
9,작품 규모·상태,2,0.0001811604686562851,0.00037533477887433716,0.8968200862106002
10,회차 분량,1,-0.00020908695957299938,0.0004784245748377568,0.8968200862106002
